"","genotype","pref","pixels"
"284","ppk14228",-0.967762733720181,1551
"285","ppk14228",-0.981318681318681,1820
"286","ppk14228",-0.934426229508197,671
"287","ppk14228",-0.982226868792473,1913
"288","ppk14228",-0.982035928143713,1670
"289","ppk14228",-0.910688140556369,1366
"290","ppk14228",-0.972536348949919,1238
"291","ppk14228",-0.99585635359116,1448
"292","ppk14228",0.983510011778563,849
"293","ppk14228",-0.98851399856425,1393
"294","ppk14228",-0.980819529206626,1147
"295","ppk14228",-0.990816326530612,1960
"296","ppk14228",0.406190777005685,1583
"297","ppk14228",-0.994269340974212,1745
"298","ppk14228",-0.980378416257884,1427
"299","ppk14228",-0.997844827586207,1856
"300","ppk14228",-0.939218523878437,1382
"301","ppk14228",-0.881255301102629,1179
"302","ppk14228",0.88,150
"303","ppk14228",-0.160887656033287,1442
"304","ppk14228",-0.971360381861575,1257
"305","ppk14228",-0.987596899224806,1935
"306","ppk14228",0.578947368421053,133
"307","ppk14228",-0.326732673267327,101
"308","ppk14228",-0.997831978319783,1845
"309","ppk14228",0.987709497206704,1790
"310","ppk14228",-0.884377150722643,1453
"311","ppk14228",0.454545454545455,55
"312","ppk14228",-0.996934865900383,1305
"313","ppk14228",-0.545454545454545,44
"314","ppk14228",0.0217391304347826,92
"315","ppk14228",-0.90282131661442,1914
"316","LVP",0.305407463823305,1313
"317","LVP",-0.903903903903904,1332
"318","LVP",-0.966989186112692,1757
"319","LVP",-0.992036405005688,1758
"320","LVP",-0.938963804116395,1409
"321","LVP",0.363636363636364,176
"322","LVP",0.392795883361921,1166
"323","LVP",-0.990504451038576,1685
"324","LVP",-0.963659147869674,1596
"325","LVP",0.771929824561403,912
"326","LVP",-0.982905982905983,2223
"327","LVP",-0.984536082474227,388
"328","LVP",-0.844155844155844,847
"329","LVP",0.101214574898785,247
"330","LVP",-0.897310513447433,1636
"331","LVP",-0.890315052508751,1714
"332","LVP",-0.949260042283298,1892
"333","LVP",-0.974301675977654,1790
"334","LVP",-0.920273348519362,1756
"335","LVP",-0.846683354192741,3196
"336","LVP",-0.984210526315789,1520
"337","LVP",-0.980602348136804,1959
"338","LVP",-0.82321618743344,939
"339","LVP",-0.889897156684816,1653
